cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
84863T10,11.37,11.57,2009-01-02,1027,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.58,11.48,2009-01-05,1156,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.95,11.67,2009-01-06,881,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.65,11.76,2009-01-07,1336,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.97,11.68,2009-01-08,858,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.11,11.89,2009-01-09,1098,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.39,11.04,2009-01-12,886,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.61,11.34,2009-01-13,1095,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.6,11.43,2009-01-14,1343,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.01,11.6,2009-01-15,876,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.11,12.05,2009-01-16,909,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.62,11.99,2009-01-20,1394,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.93,10.74,2009-01-21,1286,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.57,10.5,2009-01-22,1047,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.81,10.49,2009-01-23,1026,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.17,10.86,2009-01-26,950,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.06,11.13,2009-01-27,1240,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.47,11.09,2009-01-28,771,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.75,11.42,2009-01-29,1331,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.57,10.85,2009-01-30,1224,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.57,10.45,2009-02-02,717,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.17,10.59,2009-02-03,1086,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.12,10.62,2009-02-04,988,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.98,10.04,2009-02-05,1059,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.04,9.94,2009-02-06,986,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.62,10.04,2009-02-09,811,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.44,9.58,2009-02-10,1013,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.06,9.5,2009-02-11,807,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.1,9.92,2009-02-12,624,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.03,10.13,2009-02-13,441,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.36,9.83,2009-02-17,608,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.5,9.47,2009-02-18,1594,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.44,9.52,2009-02-19,1716,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.45,9.32,2009-02-20,1245,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.31,9.45,2009-02-23,1246,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.43,9.36,2009-02-24,1449,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.39,9.41,2009-02-25,1668,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.02,9.41,2009-02-26,1598,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.14,8.96,2009-02-27,1738,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.49,9.02,2009-03-02,1701,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.74,9.55,2009-03-03,2442,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.71,9.89,2009-03-04,2689,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.9,10.58,2009-03-05,1858,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.32,9.92,2009-03-06,2004,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.1,10.28,2009-03-09,1149,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.4,10.23,2009-03-10,2114,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.07,10.41,2009-03-11,2643,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.84,10.07,2009-03-12,2323,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.92,10.48,2009-03-13,2263,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.34,9.75,2009-03-16,1925,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.43,9.37,2009-03-17,1941,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.3,9.34,2009-03-18,2355,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.34,9.36,2009-03-19,1607,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.14,9.46,2009-03-20,1839,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.44,9.28,2009-03-23,1863,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,8.93,8.86,2009-03-24,1916,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,8.9,8.96,2009-03-25,2747,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.4,9.03,2009-03-26,2797,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,8.98,9.16,2009-03-27,1854,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.04,8.86,2009-03-30,1944,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.21,9.19,2009-03-31,3409,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.2,9.15,2009-04-01,2637,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.39,9.35,2009-04-02,1776,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.52,9.47,2009-04-03,1532,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.16,9.49,2009-04-06,2267,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.03,9.09,2009-04-07,1895,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.25,9.06,2009-04-08,1968,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.89,9.37,2009-04-09,1874,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.75,9.71,2009-04-13,1744,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.0,9.64,2009-04-14,1836,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.44,8.91,2009-04-15,1967,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.7,9.45,2009-04-16,1888,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.73,9.75,2009-04-17,1461,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.55,9.5,2009-04-20,1624,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.72,9.5,2009-04-21,1968,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.92,9.67,2009-04-22,1753,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.85,9.94,2009-04-23,2125,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.8,9.85,2009-04-24,2407,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.09,9.61,2009-04-27,2115,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.4,9.91,2009-04-28,1723,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.83,10.4,2009-04-29,2126,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.12,10.86,2009-04-30,2401,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.14,11.05,2009-05-01,1599,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.61,11.27,2009-05-04,1326,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.01,11.6,2009-05-05,1880,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.878,12.01,2009-05-06,1943,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.28,11.89,2009-05-07,1745,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.7,11.32,2009-05-08,2496,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.98,11.65,2009-05-11,1713,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.98,11.99,2009-05-12,1488,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.26,11.8,2009-05-13,1339,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.36,11.26,2009-05-14,958,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.53,11.38,2009-05-15,1546,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.39,11.55,2009-05-18,1551,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.49,11.44,2009-05-19,1659,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.33,11.44,2009-05-20,946,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.04,11.26,2009-05-21,809,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.76,11.12,2009-05-22,688,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.16,10.74,2009-05-26,1277,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.34,11.23,2009-05-27,1669,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.11,11.37,2009-05-28,1001,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.18,11.12,2009-05-29,1163,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.34,11.11,2009-06-01,1605,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.73,11.27,2009-06-02,2409,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.73,11.75,2009-06-03,1991,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.15,11.96,2009-06-04,2032,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.0,12.32,2009-06-05,1027,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.1,12.06,2009-06-08,1085,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.19,12.18,2009-06-09,1128,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.98,12.23,2009-06-10,1067,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.91,11.92,2009-06-11,1314,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.25,11.84,2009-06-12,1519,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.78,12.23,2009-06-15,1621,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.78,11.96,2009-06-16,1317,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.99,11.82,2009-06-17,1030,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.27,12.07,2009-06-18,1756,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.38,12.44,2009-06-19,1929,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.31,12.35,2009-06-22,1511,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.4,12.41,2009-06-23,1767,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.84,12.5,2009-06-24,1537,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.96,12.83,2009-06-25,1174,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.5,12.9,2009-06-26,2510,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.93,13.52,2009-06-29,1975,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.76,13.0,2009-06-30,1693,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.18,12.87,2009-07-01,1468,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.58,13.0,2009-07-02,913,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.29,12.39,2009-07-06,1777,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.28,12.26,2009-07-07,1654,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.26,12.28,2009-07-08,1067,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.23,12.33,2009-07-09,933,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.23,12.2,2009-07-10,842,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.46,12.23,2009-07-13,819,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.47,12.42,2009-07-14,648,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.72,12.55,2009-07-15,1407,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.47,12.61,2009-07-16,876,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.3,12.51,2009-07-17,1088,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.61,12.31,2009-07-20,1077,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.93,12.7,2009-07-21,936,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.37,12.92,2009-07-22,1177,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.1,13.32,2009-07-23,1352,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.02,13.04,2009-07-24,968,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.03,13.08,2009-07-27,1057,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.1,13.08,2009-07-28,1399,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.4,13.17,2009-07-29,1415,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.82,13.53,2009-07-30,1381,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.5,13.76,2009-07-31,1431,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.7,13.73,2009-08-03,1641,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.59,13.76,2009-08-04,1399,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.15,13.64,2009-08-05,1452,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.86,13.44,2009-08-06,1454,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.46,12.95,2009-08-07,1889,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.34,13.3,2009-08-10,1343,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.27,13.41,2009-08-11,1164,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.2,13.18,2009-08-12,1236,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.1,13.29,2009-08-13,1256,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.78,13.1,2009-08-14,1195,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.61,12.58,2009-08-17,810,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.81,12.7,2009-08-18,995,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.7,12.74,2009-08-19,831,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.94,12.72,2009-08-20,826,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.01,13.1,2009-08-21,929,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.99,13.07,2009-08-24,861,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.1,13.0,2009-08-25,632,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.15,13.16,2009-08-26,583,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.12,13.15,2009-08-27,691,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.04,13.16,2009-08-28,1023,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.73,13.0,2009-08-31,1095,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.94,12.81,2009-09-01,1561,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.75,12.95,2009-09-02,1530,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.75,12.9,2009-09-03,1086,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.75,12.71,2009-09-04,1373,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.77,12.89,2009-09-08,1101,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.63,12.85,2009-09-09,1464,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.94,12.7,2009-09-10,1928,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.93,13.02,2009-09-11,947,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.68,12.93,2009-09-14,1613,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.96,12.73,2009-09-15,1188,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.65,13.05,2009-09-16,1948,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.71,12.65,2009-09-17,1084,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.2,12.71,2009-09-18,2352,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.51,12.12,2009-09-21,1140,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.21,12.63,2009-09-22,1098,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.4,12.28,2009-09-23,1324,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.28,12.33,2009-09-24,1142,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.66,12.22,2009-09-25,1542,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.04,12.75,2009-09-28,1399,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.0,13.09,2009-09-29,1175,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.88,13.04,2009-09-30,1506,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.52,12.79,2009-10-01,1522,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.51,12.42,2009-10-02,1041,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.62,12.59,2009-10-05,1068,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.48,12.64,2009-10-06,832,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.28,13.27,2009-10-07,4187,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.19,13.32,2009-10-08,2537,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.2,13.22,2009-10-09,1061,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.32,13.26,2009-10-12,1164,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.33,13.37,2009-10-13,5173,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.2,13.32,2009-10-14,2171,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.17,13.19,2009-10-15,1243,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.1,13.13,2009-10-16,1351,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.51,13.18,2009-10-19,1881,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.36,13.47,2009-10-20,1285,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.99,13.32,2009-10-21,1669,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,13.04,12.91,2009-10-22,2594,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.61,13.14,2009-10-23,2214,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.33,12.66,2009-10-26,2108,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,12.05,12.3,2009-10-27,1253,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.87,12.05,2009-10-28,1779,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.27,12.03,2009-10-29,2896,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.9,11.15,2009-10-30,2692,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.76,10.88,2009-11-02,2739,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.77,10.73,2009-11-03,2530,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.68,10.78,2009-11-04,2308,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.9,10.72,2009-11-05,1342,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.8,10.79,2009-11-06,1292,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.76,10.9,2009-11-09,1401,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.81,10.71,2009-11-10,2751,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.84,10.92,2009-11-11,1603,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.86,10.86,2009-11-12,2066,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.62,10.78,2009-11-13,1658,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.68,10.76,2009-11-16,1959,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.61,10.61,2009-11-17,1356,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.46,10.56,2009-11-18,1413,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.21,10.45,2009-11-19,1679,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.37,10.19,2009-11-20,908,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.67,10.5,2009-11-23,1676,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.46,10.71,2009-11-24,998,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.41,10.47,2009-11-25,975,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.22,10.25,2009-11-27,772,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,9.98,10.16,2009-11-30,2604,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.34,10.14,2009-12-01,3016,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.39,10.32,2009-12-02,2298,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.28,10.47,2009-12-03,1511,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.62,10.44,2009-12-04,1437,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.65,10.59,2009-12-07,737,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.65,10.63,2009-12-08,1848,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.51,10.69,2009-12-09,1758,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.21,10.51,2009-12-10,1487,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.26,10.22,2009-12-11,2241,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.39,10.28,2009-12-14,1625,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.3,10.42,2009-12-15,1987,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.28,10.41,2009-12-16,1173,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.07,10.28,2009-12-17,1895,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.24,10.07,2009-12-18,1957,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.45,10.25,2009-12-21,1492,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.74,10.52,2009-12-22,2469,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.7,10.99,2009-12-23,1245,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.82,10.71,2009-12-24,417,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.05,10.82,2009-12-28,2036,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.98,11.1,2009-12-29,774,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.99,10.91,2009-12-30,635,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.01,10.97,2009-12-31,982,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.11,11.15,2010-01-04,1467,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.32,11.13,2010-01-05,1850,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.07,11.32,2010-01-06,1598,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.24,11.07,2010-01-07,1121,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.05,11.26,2010-01-08,930,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.94,11.14,2010-01-11,1393,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.62,10.91,2010-01-12,2068,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.6,10.6,2010-01-13,1469,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.74,10.59,2010-01-14,1353,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.89,10.79,2010-01-15,1813,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,11.28,11.32,2010-01-19,1478,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.88,11.2,2010-01-20,1329,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.78,10.86,2010-01-21,1700,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.88,10.82,2010-01-22,1347,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.92,10.89,2010-01-25,1158,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.6,10.92,2010-01-26,1750,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.87,10.55,2010-01-27,598,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.59,10.92,2010-01-28,818,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.39,10.6,2010-01-29,1189,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.61,10.46,2010-02-01,1303,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.56,10.6,2010-02-02,1284,SPOK,SPOK HOLDINGS INC,4812.0,171.0
84863T10,10.56,10.57,2010-02-03,730,SPOK,SPOK HOLDINGS INC,4812.0,171.0
