cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
23355L10,37.1,35.47,2009-01-02,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,37.56,36.72,2009-01-05,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,39.53,37.9,2009-01-06,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,37.89,39.22,2009-01-07,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.79,37.64,2009-01-08,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.36,36.85,2009-01-09,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.06,36.5,2009-01-12,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,37.32,36.11,2009-01-13,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,35.7,36.93,2009-01-14,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.66,35.75,2009-01-15,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.98,37.22,2009-01-16,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,35.19,36.12,2009-01-20,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.66,35.65,2009-01-21,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.69,35.96,2009-01-22,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,35.95,35.99,2009-01-23,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.69,36.2,2009-01-26,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,37.8,36.67,2009-01-27,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,38.46,38.32,2009-01-28,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.82,38.36,2009-01-29,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.84,37.01,2009-01-30,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,37.64,37.47,2009-02-02,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,38.47,36.94,2009-02-03,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,38.0,38.61,2009-02-04,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,38.79,37.77,2009-02-05,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,40.41,38.83,2009-02-06,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,40.27,40.47,2009-02-09,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,38.82,40.23,2009-02-10,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,40.29,39.9,2009-02-11,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,39.71,39.61,2009-02-12,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,39.58,39.71,2009-02-13,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,37.96,38.66,2009-02-17,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,37.88,38.14,2009-02-18,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.85,37.88,2009-02-19,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.64,36.16,2009-02-20,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,35.18,36.78,2009-02-23,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,35.93,35.55,2009-02-24,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,35.02,35.72,2009-02-25,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,34.45,35.47,2009-02-26,,151483.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,34.74,34.09,2009-02-27,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,34.19,34.1,2009-03-02,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,34.16,34.61,2009-03-03,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.23,34.46,2009-03-04,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,34.18,35.54,2009-03-05,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,32.84,34.14,2009-03-06,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,32.08,32.42,2009-03-09,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,32.62,31.9,2009-03-10,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,33.28,32.87,2009-03-11,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,35.07,33.15,2009-03-12,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,35.39,35.12,2009-03-13,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,34.38,35.7,2009-03-16,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,35.3,34.54,2009-03-17,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.15,35.37,2009-03-18,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,35.42,36.09,2009-03-19,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,34.89,35.56,2009-03-20,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,37.39,35.63,2009-03-23,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
23355L10,36.47,36.93,2009-03-24,,151500.0,DXC,D X C TECHNOLOGY CO,7373.0
